TIMESTAMP,T0_ORIGIN_X,T0_ORIGIN_Y,T0_ORIGIN_Z,T0_XAXIS_X,T0_XAXIS_Y,T0_XAXIS_Z,T0_YAXIS_X,T0_YAXIS_Y,T0_YAXIS_Z,T0_TRIGGER_PRESSED,T0_TRIGGER_CLICKED,T0_TRIGGER_VALUE,T0_TOUCHPAD_PRESSED,T0_TOUCHPAD_CLICKED,T0_TOUCHPAD_VALUE_X,T0_TOUCHPAD_VALUE_Y,T1_ORIGIN_X,T1_ORIGIN_Y,T1_ORIGIN_Z,T1_XAXIS_X,T1_XAXIS_Y,T1_XAXIS_Z,T1_YAXIS_X,T1_YAXIS_Y,T1_YAXIS_Z,T1_TRIGGER_PRESSED,T1_TRIGGER_CLICKED,T1_TRIGGER_VALUE,T1_TOUCHPAD_PRESSED,T1_TOUCHPAD_CLICKED,T1_TOUCHPAD_VALUE_X,T1_TOUCHPAD_VALUE_Y
1569789893007,0.681166629665107,0.934877662952303,1.39871929130746,0.968289333084074,0.0790909270116057,-0.236981840443616,0.227872368690214,0.109277876469937,0.9675394200247,false,false,0,false,false,0,0,0.947287579963266,0.900414092142952,1.39088839098745,0.891698729164477,-0.428780213023375,0.144985879747258,-0.0323971950106905,0.259036698323048,0.965323992593851,false,false,0,false,false,0,0,
1569789893054,0.677377997253537,0.934541960316375,1.40195481678148,0.968908292714752,0.0823985994369955,-0.233296358993033,0.224134070134592,0.107040433636351,0.968662100100878,false,false,0,false,false,0,0,0.944597880694414,0.901186165490129,1.39421682769673,0.876508294302669,-0.455840954275698,0.154732783932969,-0.0411956217823772,0.249223755354669,0.967569346617016,false,false,0,false,false,0,0,
1569789893085,0.675233985685826,0.934117080812133,1.40342639522732,0.969740032971705,0.0800405488674723,-0.230646437191279,0.222661245554174,0.0975139099765066,0.970006704662064,false,false,0,false,false,0,0,0.942730304326909,0.901426127336787,1.39577988976756,0.874156829682256,-0.46050107882524,0.154235513163012,-0.0443597203502591,0.24054868957001,0.969622887083735,false,false,0,false,false,0,0,
1569789893116,0.673962871076736,0.933823907125424,1.40431810653316,0.9675906644743,0.0890871071045107,-0.236287522670858,0.228430326571362,0.0900917636495156,0.969382824288228,false,false,0,false,false,0,0,0.94113135918425,0.901618570965089,1.39712536634449,0.872409706878866,-0.463708513723163,0.154517693628226,-0.0469977372635524,0.235083876997136,0.970838186037252,false,false,0,false,false,0,0,
1569789893147,0.673424271481947,0.934100650142832,1.40484721919129,0.963588747745794,0.101603510655329,-0.247332674429008,0.238692083593368,0.0900364220761889,0.966912370346752,false,false,0,false,false,0,0,0.939944109301892,0.90204551706486,1.39830805809991,0.870650230712189,-0.466201652172787,0.156920984167752,-0.0496707793456569,0.234055606362977,0.9709535451345,false,false,0,false,false,0,0,
1569789893179,0.672631818093346,0.934566047743528,1.40555393647434,0.961932709464573,0.106360086422798,-0.251739934214419,0.242823946860997,0.0899959403714232,0.965886774703697,false,false,0,false,false,0,0,0.938736286649704,0.902389863115854,1.39951205093861,0.87324118062069,-0.462535919954993,0.153330894537178,-0.0494816131361462,0.228866191133814,0.972199483911273,false,false,0,false,false,0,0,
1569789893212,0.672110798555741,0.934096094948434,1.40641271868053,0.963106434385078,0.10543238550725,-0.247608578470763,0.239436201572568,0.0843612614891028,0.96724013716164,false,false,0,false,false,0,0,0.938225053359042,0.901762334044494,1.40088383594449,0.882685290217318,-0.447177042629167,0.144566147418406,-0.0468414963485971,0.222367348852719,0.973837068705047,false,false,0,false,false,0,0,
1569789893256,0.670898048266529,0.933311190367188,1.40777995161647,0.964791380377817,0.110679462135316,-0.23859515713883,0.23134530057687,0.0744636413435853,0.970017792630038,false,false,0,false,false,0,0,0.937475360403795,0.901658245624213,1.40247299090841,0.890078767396193,-0.434912041226487,0.136423253980709,-0.0430702104331768,0.217711394869753,0.975062411088187,false,false,0,false,false,0,0,
1569789893288,0.670617564107027,0.932763426702907,1.40842402743657,0.965515333821246,0.116312592207769,-0.232919559182902,0.226478679225155,0.0660053437374144,0.971777084754799,false,false,0,false,false,0,0,0.937022234329722,0.902694681686743,1.40291061835912,0.885642845167971,-0.442590959169744,0.140534670683032,-0.0432254487299605,0.222749233003411,0.973917008670906,false,false,0,false,false,0,0,
1569789893319,0.670539576749237,0.932814287671634,1.40910438133551,0.965271545504163,0.120977826129718,-0.23154958221714,0.225564816776894,0.0612106476313376,0.97230333232431,false,false,0,false,false,0,0,0.936455857658751,0.903825400317899,1.40335646863797,0.88269579570304,-0.446786754142855,0.145704250352105,-0.0456946029776606,0.226977744758114,0.972827377618061,false,false,0,false,false,0,0,
